shannon	simpson	fisher.alpha	richness	rarefy_min_count
F34	2.99218987011886	0.91490003161696	11.1684665929409	85	66.2182636954648
F87	2.97824839634117	0.900936267730141	16.1138138957519	129	70.9514728689988
F33	2.95114909122017	0.895635911133066	14.9760083245142	124	69.2384065163764
F67	2.92784847501027	0.894141107240126	18.3305309843026	155	69.8268169096696
F82	2.91825930585265	0.902039787390652	12.9736627670378	91	69.8328101021781
F74	2.90612871378947	0.900498598541479	18.1844525867615	162	71.1735528125751
F50	2.89486492150657	0.885939926934416	14.1658977945137	108	69.9630077462941
F84	2.87775473249437	0.89444791070127	13.405419108641	104	70.3178604319838
F93	2.87772469205361	0.894884521956023	14.7924056676159	120	67.9051491283366
F88	2.87609513238199	0.882194556070072	14.7287888414716	124	67.7828750151001
F52	2.86821633947785	0.902066026681619	16.0850693657074	125	65.9623459456829
F54	2.86267239591734	0.886309849960056	16.1732499699414	125	74.1131846923316
F59	2.86053508607145	0.885664946304647	17.564601589945	151	68.513592588911
F101	2.85823959983774	0.891725573668866	14.2254472381471	115	69.3502686388552
F76	2.85638815051088	0.879067354032608	16.9938649175458	147	69.1445513393243
F96	2.85614143261831	0.893900813211839	15.3028855761261	134	70.0427845285906
F41	2.8522705492956	0.888943552112976	15.4677672784384	129	72.8224343834366
F28	2.84083869140551	0.892260504467666	10.8184055608066	94	57.4768240281165
F98	2.83334118346411	0.893303265552575	16.4725206648803	131	65.7059056089415
F26	2.83169829268898	0.884042131151799	11.2718131362598	99	68.7252178653657
F81	2.82968791542758	0.889266504727248	13.7092797223843	115	64.9685524938377
F94	2.82627365278411	0.888061124606948	14.0344584192627	113	61.2376127969837
F47	2.81781231353465	0.890231148994052	12.7235507851477	112	62.4386843111021
F99	2.8154819557298	0.880835636153525	14.591493042068	106	69.008123436978
F92	2.81512390184129	0.882835322264283	14.0386510974348	115	67.793136272712
F57	2.81461535181551	0.876491918756775	21.3979229493187	188	67.3254986622214
F39	2.81350704262495	0.882078680056846	11.8928046289363	95	65.9837120999368
F51	2.80965087136577	0.890340479224692	14.9594074554632	109	67.4908532520123
F64	2.80756930329324	0.883151981090527	18.1639484920761	168	65.7313152211949
F36	2.80381041610921	0.885589156588527	11.2472606325574	76	63.0242576587693
F97	2.80182951644402	0.894679874220841	12.7287312531171	97	63.3392842028697
F32	2.79883853873666	0.872886629841212	11.798006213554	102	64.9569873392927
F29	2.79866898600387	0.88288617118184	12.5455996356651	109	62.8537329548613
F78	2.7949186781955	0.879956293483096	16.9474435154427	149	61.1773453231765
F60	2.79124381525275	0.881193754520723	14.6819202875729	120	65.0856045208654
F61	2.78542311265881	0.884552226256417	14.1701016424611	118	62.7694428216107
F79	2.78535218074859	0.880323413567553	11.8800241217705	92	64.6560642939608
F49	2.77650619815696	0.879556298754832	17.4731246033974	155	65.0353846160448
F65	2.77390598848195	0.877091671362139	15.6935410195185	144	59.6616277502375
F45	2.77319544709517	0.856629710452537	13.2610108526299	99	67.0624523742429
F37	2.7695195477873	0.87629020946798	12.1033021503506	87	69.3108490945472
F71	2.76778944151959	0.880080595656877	17.9932352932708	158	61.8900824872195
F12	2.76073652469449	0.878261544824986	15.3213733356276	123	65.2880357101279
F89	2.75333173497686	0.877620525627008	13.8169443091525	110	68.2025935711999
F21	2.75155516765306	0.877469898192505	10.9987630888583	91	61.987179075378
F73	2.74935281892495	0.887880984983655	17.1453090075192	132	64.5970377248428
F48	2.74638461078246	0.870614499346876	17.4281120579346	145	66.7135184697885
F17	2.7341789927561	0.892226554916981	12.3006239549123	105	55.1709165192401
F103	2.73278154633276	0.877132648738184	12.9781935132127	102	61.4620249383986
F42	2.73061324701225	0.883511299758386	10.8977898170025	76	61.7085074404247
F35	2.72744022189047	0.869741499517014	10.4964678575866	81	56.5096596418579
