Sample	read_count
F56	100398940
F91	58523624
F101	65698850
F98	90109084
F26	79231092
F54	54763380
F11	67066608
F40	156309854
F17	109930842
F52	92840438
F34	52652132
F82	32493166
F74	180092884
F22	42295350
F53	138103994
F75	104878050
F36	14225672
F92	66546994
F63	139466318
F64	276039864
F59	143456352
F69	79512130
O1	79664696
F89	73431742
F67	120021108
F104	73330692
F31	75765060
F68	92973468
F16	56352040
F76	121505178
F15	71354488
F47	144901496
F14	67046808
F42	25803074
F21	68780922
F50	61345770
F32	71775288
F87	65613804
F25	63542438
F58	87684970
F39	67315734
F61	90444680
F12	54634504
F60	81948572
F100	91289850
F23	50200532
F70	141223226
F37	22204621
F84	41243216
F20	62579676
F95	67164296
F90	58575272
F30	42862698
F79	40399664
F94	72365034
F71	179094244
F102	64951852
F44	63711538
F103	59930300
F18	62180378
F45	36019202
F33	78715680
F88	76684902
F19	68801422
F51	61444172
F65	224331618
F93	79879644
F29	85284274
F81	79683706
F49	230867852
F38	4479349
F83	24546624
F27	62119864
F55	68690460
F43	131882816
F97	55509482
F96	139988234
F28	94848384
F62	113176272
F99	47242294
F35	58548588
F78	274488904
F85	62504010
F86	50417086
F57	211203004
F13	75743130
F41	101714380
F48	162174054
F24	52738334
F80	43196284
F66	149420226
F72	62260770
F73	186135884
F77	140675282
